,pair,date,open,high,low,close,volume
0,BTC/USDT,2018-12-21,3840.25,3979.0,3785.0,3948.91,42822.350872
1,BTC/USDT,2018-12-22,3948.91,4021.53,3870.0,3929.71,40117.531529
2,BTC/USDT,2018-12-23,3929.71,4198.0,3924.83,4008.01,64647.809129
3,BTC/USDT,2018-12-24,4010.11,4020.0,3646.41,3745.79,62725.629432
4,BTC/USDT,2018-12-25,3745.56,3837.15,3656.74,3777.74,42629.375817
5,BTC/USDT,2018-12-26,3777.74,3813.98,3535.0,3567.91,44097.392912
6,BTC/USDT,2018-12-27,3567.89,3887.25,3540.04,3839.26,45964.304987
7,BTC/USDT,2018-12-28,3839.0,3892.0,3670.0,3695.32,38874.373903
8,BTC/USDT,2018-12-29,3696.71,3903.5,3657.9,3801.91,33222.369262
9,BTC/USDT,2018-12-30,3803.12,3810.0,3630.33,3702.9,29991.77835
10,BTC/USDT,2018-12-31,3701.23,3810.16,3642.0,3797.14,23741.687033
11,BTC/USDT,2019-01-01,3796.45,3882.14,3750.45,3858.56,35156.463369
12,BTC/USDT,2019-01-02,3857.57,3862.74,3730.0,3766.78,29406.948359
13,BTC/USDT,2019-01-03,3767.2,3823.64,3703.57,3792.01,29519.554671
14,BTC/USDT,2019-01-04,3790.09,3840.99,3751.0,3770.96,30490.667751
15,BTC/USDT,2019-01-05,3771.12,4027.71,3740.0,3987.6,36553.806709
16,BTC/USDT,2019-01-06,3987.62,4017.9,3921.53,3975.45,31869.846264
17,BTC/USDT,2019-01-07,3976.76,4069.8,3903.0,3955.13,38901.423122
18,BTC/USDT,2019-01-08,3955.45,4006.81,3930.04,3966.65,28989.439511
19,BTC/USDT,2019-01-09,3966.06,3996.01,3540.0,3585.88,59402.22851
20,BTC/USDT,2019-01-10,3585.88,3658.0,3465.0,3601.31,38338.654733
21,BTC/USDT,2019-01-11,3601.31,3618.19,3530.0,3583.13,21999.928354
22,BTC/USDT,2019-01-12,3584.1,3611.1,3441.3,3476.81,26385.757454
23,BTC/USDT,2019-01-13,3477.56,3671.87,3467.02,3626.09,35235.211215
24,BTC/USDT,2019-01-14,3626.08,3648.42,3516.62,3553.06,34137.997459
25,BTC/USDT,2019-01-15,3553.06,3645.0,3543.51,3591.84,27480.179977
26,BTC/USDT,2019-01-16,3591.84,3634.7,3530.39,3616.21,29755.440838
27,BTC/USDT,2019-01-17,3613.32,3620.0,3565.75,3594.87,22713.446755
28,BTC/USDT,2019-01-18,3594.87,3720.0,3594.23,3665.3,22171.578123
29,BTC/USDT,2019-01-19,3665.75,3693.73,3475.0,3539.28,27901.938598
30,BTC/USDT,2019-01-20,3539.26,3559.51,3475.5,3526.9,19644.436839
31,BTC/USDT,2019-01-21,3526.88,3608.5,3434.85,3570.93,29336.442967
32,BTC/USDT,2019-01-22,3570.41,3607.98,3514.5,3552.82,24938.842698
33,BTC/USDT,2019-01-23,3552.97,3589.0,3529.22,3569.62,20826.25118
34,BTC/USDT,2019-01-24,3569.07,3587.15,3522.51,3565.29,17608.346671
35,BTC/USDT,2019-01-25,3566.69,3662.94,3545.0,3565.25,19476.532344
36,BTC/USDT,2019-01-26,3565.62,3579.0,3486.0,3550.84,22735.598162
37,BTC/USDT,2019-01-27,3550.05,3557.75,3380.27,3434.15,40405.111401
38,BTC/USDT,2019-01-28,3434.0,3443.45,3349.92,3411.04,29544.928977
39,BTC/USDT,2019-01-29,3410.04,3478.0,3387.1,3458.18,23968.260243
40,BTC/USDT,2019-01-30,3457.5,3489.2,3418.8,3434.1,29607.190253
41,BTC/USDT,2019-01-31,3434.1,3488.0,3401.2,3462.07,25260.476159
42,BTC/USDT,2019-02-01,3462.2,3526.4,3440.29,3504.77,17920.802
43,BTC/USDT,2019-02-02,3504.06,3511.09,3426.0,3458.11,19867.33639
44,BTC/USDT,2019-02-03,3458.11,3484.88,3433.31,3463.22,23131.981108
45,BTC/USDT,2019-02-04,3463.22,3478.97,3448.43,3471.59,25264.41503
46,BTC/USDT,2019-02-05,3471.57,3482.72,3380.0,3405.37,35310.244846
47,BTC/USDT,2019-02-06,3407.0,3426.45,3390.0,3398.4,18665.538638
48,BTC/USDT,2019-02-07,3398.4,3733.58,3373.1,3659.04,47968.058013
49,BTC/USDT,2019-02-08,3660.27,3680.02,3625.13,3665.18,24759.833719
50,BTC/USDT,2019-02-09,3665.18,3684.99,3609.76,3680.06,23250.602634
51,BTC/USDT,2019-02-10,3679.75,3684.9,3615.53,3631.05,24954.614571
52,BTC/USDT,2019-02-11,3631.05,3667.6,3582.34,3631.46,29479.59823
