,date,bitcoin,ripple,ethereum,cryptocurrency
0,2018-12-21,12817,863,1445,3482
1,2018-12-22,10507,691,1216,3627
2,2018-12-23,9330,792,1301,3158
3,2018-12-24,9452,854,1299,3398
4,2018-12-25,9181,824,1134,3117
5,2018-12-26,10859,968,1247,3644
6,2018-12-27,11794,956,1713,4051
7,2018-12-28,11423,921,1627,4187
8,2018-12-29,11545,780,1652,3703
9,2018-12-30,9079,878,1660,3276
10,2018-12-31,9707,729,1567,3215
11,2019-01-01,9676,624,1409,3250
12,2019-01-02,11193,861,1971,4054
13,2019-01-03,20217,934,2100,5900
14,2019-01-04,12983,809,2040,4300
15,2019-01-05,11166,762,1726,3599
16,2019-01-06,10823,879,1633,3418
17,2019-01-07,11844,864,1920,4281
18,2019-01-08,11247,975,2230,4561
19,2019-01-09,11613,915,2074,5364
20,2019-01-10,11469,919,1864,4934
21,2019-01-11,11253,762,1785,4302
22,2019-01-12,9969,603,1621,3583
23,2019-01-13,10447,699,1528,3875
24,2019-01-14,10517,881,2220,4389
25,2019-01-15,8976,858,2287,5577
26,2019-01-16,8694,808,2007,4387
27,2019-01-17,8474,848,1773,4274
28,2019-01-18,9388,769,1845,4588
29,2019-01-19,7062,580,1145,3986
30,2019-01-20,6958,652,1081,3412
31,2019-01-21,8011,705,1376,4772
32,2019-01-22,8145,769,1519,4288
33,2019-01-23,8351,743,1461,4124
34,2019-01-24,9591,743,1448,4264
35,2019-01-25,8612,664,1280,4595
36,2019-01-26,8095,574,1000,2975
37,2019-01-27,8167,589,1161,3312
38,2019-01-28,8591,749,1357,4186
39,2019-01-29,8870,741,1435,4442
40,2019-01-30,9138,737,1524,4481
41,2019-01-31,8877,783,1428,4242
42,2019-02-01,9183,713,1315,4105
43,2019-02-02,8044,565,1095,3281
44,2019-02-03,7533,625,1088,4127
45,2019-02-04,9227,759,1673,5590
46,2019-02-05,14043,822,1697,10128
47,2019-02-06,11497,782,1533,7673
48,2019-02-07,10628,771,1465,6317
49,2019-02-08,9212,992,1473,4455
50,2019-02-09,8208,672,1040,3673
51,2019-02-10,7960,676,1109,3610
52,2019-02-11,9192,762,1484,5821
53,2019-02-12,9366,745,1571,4723
54,2019-02-13,9619,871,1488,4290
55,2019-02-14,8574,821,1502,4500
56,2019-02-15,8567,809,1468,4309
57,2019-02-16,8364,595,1156,3578
58,2019-02-17,10731,632,1342,4158
59,2019-02-18,9619,968,1780,4707
60,2019-02-19,10199,925,1774,4800
61,2019-02-20,10410,1397,1817,4471
62,2019-02-21,10148,1062,1726,4766
63,2019-02-22,9719,773,1457,3835
64,2019-02-23,8850,590,1217,3229
65,2019-02-24,9956,803,1670,4253
66,2019-02-25,10287,1054,2062,4045
67,2019-02-26,10243,875,1605,4020
68,2019-02-27,9925,1043,1521,4225
69,2019-02-28,15021,938,1880,3903
70,2019-03-01,10709,958,1609,3811
71,2019-03-02,8918,635,1253,3576
72,2019-03-03,8919,643,1248,3484
73,2019-03-04,9968,770,1543,4448
74,2019-03-05,10197,779,1591,4474
75,2019-03-06,10467,704,1561,4064
76,2019-03-07,9796,698,1414,4373
77,2019-03-08,8394,639,1561,3833
78,2019-03-09,7519,484,1015,3311
79,2019-03-10,7915,517,1328,3624
80,2019-03-11,8774,722,1589,4347
81,2019-03-12,12521,897,1669,5028
82,2019-03-13,8739,734,1717,5018
83,2019-03-14,8334,625,1333,4250
84,2019-03-15,7756,581,1335,4026
85,2019-03-16,6987,508,1074,3875
86,2019-03-17,7255,513,1054,4096
87,2019-03-18,8668,691,1434,4636
88,2019-03-19,8453,672,1298,4367
89,2019-03-20,8187,673,1268,3768
90,2019-03-21,7746,664,1346,3803
91,2019-03-22,7275,524,1268,3715
92,2019-03-23,6576,423,934,3150
93,2019-03-24,6248,419,1006,3302
94,2019-03-25,6904,578,1363,4513
95,2019-03-26,7696,549,1330,4143
96,2019-03-27,7770,801,1364,4534
97,2019-03-28,7251,690,1242,4107
98,2019-03-29,6807,550,1209,3831
99,2019-03-30,6002,492,1005,3868
100,2019-03-31,6406,517,1282,4203
101,2019-04-01,7923,658,1310,4749
102,2019-04-02,12906,784,1570,5008
103,2019-04-03,14671,890,1689,5258
104,2019-04-04,10242,730,1559,4887
105,2019-04-05,8525,757,1504,4054
106,2019-04-06,7347,645,1332,4166
107,2019-04-07,7621,621,1429,3745
